20241102T,0,1000,0,251.03,0
20241103T,0,1000,0,251.03,0
20241104T,0,1000,0,251.03,0
20241105T,0,1000,0,251.03,0
20241106T,0,1000,0,251.03,0
20241107T,0,1000,0,129.27,0
20241108T,0,1000,0,129.27,0
20241109T,0,1000,0,129.27,0
20241110T,0,1000,0,129.27,0
20241111T,0,1000,0,129.27,0
20241112T,0,1000,0,101.7,0
20241113T,0,1000,0,101.7,0
20241114T,0,1000,0,101.7,0
20241115T,0,1000,0,101.7,0
20241116T,0,1000,0,101.7,0
20241117T,0,1000,0,89.8,0
20241118T,0,1000,0,89.8,0
20241119T,0,1000,0,89.8,0
20241120T,0,1000,0,89.8,0
20241121T,0,1000,0,89.8,0
20241122T,0,1000,0,81.35,0
20241123T,0,1000,0,81.35,0
20241124T,0,1000,0,81.35,0
20241125T,0,1000,0,81.35,0
20241126T,0,1000,0,81.35,0
20241127T,0,1000,0,58.35,0
20241128T,0,1000,0,58.35,0
20241129T,0,1000,0,58.35,0
20241130T,0,1000,0,58.35,0
20241201T,0,1000,0,58.35,0
20241202T,0,1000,0,29.51,0
20241203T,0,1000,0,29.51,0
20241204T,0,1000,0,29.51,0
20241205T,0,1000,0,29.51,0
20241206T,0,1000,0,29.51,0
